keyword_ascii,scholar_query_ascii,google_scholar_url_ascii,formal_branch,formal_scope,field,subfield,sub_subfield,node_level,source_tag,source_code,source_title
Group algebras of locally compact groups,"Group algebras of locally compact groups Locally compact groups and their algebras Topological groups, Lie groups 22D15 MSC2020",https://scholar.google.com/scholar?q=Group%20algebras%20of%20locally%20compact%20groups%20Locally%20compact%20groups%20and%20their%20algebras%20Topological%20groups%2C%20Lie%20groups%2022D15%20MSC2020,Mathematics,core,"Topological groups, Lie groups {For transformation groups, see 54H15, 57Sxx, 58-XX; for abstract harmonic analysis, see 43-XX}",Locally compact groups and their algebras,Group algebras of locally compact groups,sub_subfield,MSC2020:22D15,22D15,Group algebras of locally compact groups
Representations of group algebras,"Representations of group algebras Locally compact groups and their algebras Topological groups, Lie groups 22D20 MSC2020",https://scholar.google.com/scholar?q=Representations%20of%20group%20algebras%20Locally%20compact%20groups%20and%20their%20algebras%20Topological%20groups%2C%20Lie%20groups%2022D20%20MSC2020,Mathematics,core,"Topological groups, Lie groups {For transformation groups, see 54H15, 57Sxx, 58-XX; for abstract harmonic analysis, see 43-XX}",Locally compact groups and their algebras,Representations of group algebras,sub_subfield,MSC2020:22D20,22D20,Representations of group algebras
C -algebras and W -algebras in relation to group representations,"C -algebras and W -algebras in relation to group representations Locally compact groups and their algebras Topological groups, Lie groups 22D25 MSC2020",https://scholar.google.com/scholar?q=C%20-algebras%20and%20W%20-algebras%20in%20relation%20to%20group%20representations%20Locally%20compact%20groups%20and%20their%20algebras%20Topological%20groups%2C%20Lie%20groups%2022D25%20MSC2020,Mathematics,core,"Topological groups, Lie groups {For transformation groups, see 54H15, 57Sxx, 58-XX; for abstract harmonic analysis, see 43-XX}",Locally compact groups and their algebras,C∗-algebras and W ∗-algebras in relation to group representations [See also 46Lxx],sub_subfield,MSC2020:22D25,22D25,C∗-algebras and W ∗-algebras in relation to group representations [See also 46Lxx]
Induced representations for locally compact groups,"Induced representations for locally compact groups Locally compact groups and their algebras Topological groups, Lie groups 22D30 MSC2020",https://scholar.google.com/scholar?q=Induced%20representations%20for%20locally%20compact%20groups%20Locally%20compact%20groups%20and%20their%20algebras%20Topological%20groups%2C%20Lie%20groups%2022D30%20MSC2020,Mathematics,core,"Topological groups, Lie groups {For transformation groups, see 54H15, 57Sxx, 58-XX; for abstract harmonic analysis, see 43-XX}",Locally compact groups and their algebras,Induced representations for locally compact groups,sub_subfield,MSC2020:22D30,22D30,Induced representations for locally compact groups
Duality theorems for locally compact groups,"Duality theorems for locally compact groups Locally compact groups and their algebras Topological groups, Lie groups 22D35 MSC2020",https://scholar.google.com/scholar?q=Duality%20theorems%20for%20locally%20compact%20groups%20Locally%20compact%20groups%20and%20their%20algebras%20Topological%20groups%2C%20Lie%20groups%2022D35%20MSC2020,Mathematics,core,"Topological groups, Lie groups {For transformation groups, see 54H15, 57Sxx, 58-XX; for abstract harmonic analysis, see 43-XX}",Locally compact groups and their algebras,Duality theorems for locally compact groups,sub_subfield,MSC2020:22D35,22D35,Duality theorems for locally compact groups
Ergodic theory on groups,"Ergodic theory on groups Locally compact groups and their algebras Topological groups, Lie groups 22D40 MSC2020",https://scholar.google.com/scholar?q=Ergodic%20theory%20on%20groups%20Locally%20compact%20groups%20and%20their%20algebras%20Topological%20groups%2C%20Lie%20groups%2022D40%20MSC2020,Mathematics,core,"Topological groups, Lie groups {For transformation groups, see 54H15, 57Sxx, 58-XX; for abstract harmonic analysis, see 43-XX}",Locally compact groups and their algebras,Ergodic theory on groups [See also 28Dxx],sub_subfield,MSC2020:22D40,22D40,Ergodic theory on groups [See also 28Dxx]
Automorphism groups of locally compact groups,"Automorphism groups of locally compact groups Locally compact groups and their algebras Topological groups, Lie groups 22D45 MSC2020",https://scholar.google.com/scholar?q=Automorphism%20groups%20of%20locally%20compact%20groups%20Locally%20compact%20groups%20and%20their%20algebras%20Topological%20groups%2C%20Lie%20groups%2022D45%20MSC2020,Mathematics,core,"Topological groups, Lie groups {For transformation groups, see 54H15, 57Sxx, 58-XX; for abstract harmonic analysis, see 43-XX}",Locally compact groups and their algebras,Automorphism groups of locally compact groups,sub_subfield,MSC2020:22D45,22D45,Automorphism groups of locally compact groups
Rigidity in locally compact groups,"Rigidity in locally compact groups Locally compact groups and their algebras Topological groups, Lie groups 22D50 MSC2020",https://scholar.google.com/scholar?q=Rigidity%20in%20locally%20compact%20groups%20Locally%20compact%20groups%20and%20their%20algebras%20Topological%20groups%2C%20Lie%20groups%2022D50%20MSC2020,Mathematics,core,"Topological groups, Lie groups {For transformation groups, see 54H15, 57Sxx, 58-XX; for abstract harmonic analysis, see 43-XX}",Locally compact groups and their algebras,Rigidity in locally compact groups,sub_subfield,MSC2020:22D50,22D50,Rigidity in locally compact groups
"Kazhdan's property (T), the Haagerup property, and generalizations","Kazhdan's property (T), the Haagerup property, and generalizations Locally compact groups and their algebras Topological groups, Lie groups 22D55 MSC2020",https://scholar.google.com/scholar?q=Kazhdan's%20property%20(T)%2C%20the%20Haagerup%20property%2C%20and%20generalizations%20Locally%20compact%20groups%20and%20their%20algebras%20Topological%20groups%2C%20Lie%20groups%2022D55%20MSC2020,Mathematics,core,"Topological groups, Lie groups {For transformation groups, see 54H15, 57Sxx, 58-XX; for abstract harmonic analysis, see 43-XX}",Locally compact groups and their algebras,"Kazhdan’s property (T), the Haagerup property, and generalizations",sub_subfield,MSC2020:22D55,22D55,"Kazhdan’s property (T), the Haagerup property, and generalizations"
"None of the above, but in this section","None of the above, but in this section Locally compact groups and their algebras Topological groups, Lie groups 22D99 MSC2020",https://scholar.google.com/scholar?q=None%20of%20the%20above%2C%20but%20in%20this%20section%20Locally%20compact%20groups%20and%20their%20algebras%20Topological%20groups%2C%20Lie%20groups%2022D99%20MSC2020,Mathematics,core,"Topological groups, Lie groups {For transformation groups, see 54H15, 57Sxx, 58-XX; for abstract harmonic analysis, see 43-XX}",Locally compact groups and their algebras,"None of the above, but in this section",sub_subfield,MSC2020:22D99,22D99,"None of the above, but in this section"
